"variable","iso2","reference","cramer"
"hk_prevalence","GM","coordinates",0.03201
"asc_prevalence","GM","year",
"asc_prevalence","GM","longitude",
"asc_prevalence","GM","latitude",0.03201
"asc_prevalence","GM","hk_prevalence",1
"asc_prevalence","GM","asc_prevalence",1
"asc_prevalence","GM","tt_prevalence",1
"asc_prevalence","GM","coordinates",0.03201
"tt_prevalence","GM","year",
"tt_prevalence","GM","longitude",
"tt_prevalence","GM","latitude",0.03201
"tt_prevalence","GM","hk_prevalence",1
"tt_prevalence","GM","asc_prevalence",1
"tt_prevalence","GM","tt_prevalence",1
"tt_prevalence","GM","coordinates",0.03201
"coordinates","GM","year",
"coordinates","GM","longitude",
"coordinates","GM","latitude",1
"coordinates","GM","hk_prevalence",0.03201
"coordinates","GM","asc_prevalence",0.03201
"coordinates","GM","tt_prevalence",0.03201
"coordinates","GM","coordinates",1
"year","GN","year",1
"year","GN","longitude",0.2433
"year","GN","latitude",0.05397
"year","GN","hk_prevalence",
"year","GN","asc_prevalence",
"year","GN","tt_prevalence",
"year","GN","coordinates",0.05397
"longitude","GN","year",0.2433
"longitude","GN","longitude",1
"longitude","GN","latitude",0.536
"longitude","GN","hk_prevalence",
"longitude","GN","asc_prevalence",
"longitude","GN","tt_prevalence",
"longitude","GN","coordinates",0.536
"latitude","GN","year",0.05397
"latitude","GN","longitude",0.536
"latitude","GN","latitude",1
"latitude","GN","hk_prevalence",
"latitude","GN","asc_prevalence",
"latitude","GN","tt_prevalence",
"latitude","GN","coordinates",1
"hk_prevalence","GN","year",
"hk_prevalence","GN","longitude",
"hk_prevalence","GN","latitude",
"hk_prevalence","GN","hk_prevalence",
"hk_prevalence","GN","asc_prevalence",
"hk_prevalence","GN","tt_prevalence",
"hk_prevalence","GN","coordinates",
"asc_prevalence","GN","year",
"asc_prevalence","GN","longitude",
"asc_prevalence","GN","latitude",
"asc_prevalence","GN","hk_prevalence",
"asc_prevalence","GN","asc_prevalence",
"asc_prevalence","GN","tt_prevalence",
"asc_prevalence","GN","coordinates",
"tt_prevalence","GN","year",
"tt_prevalence","GN","longitude",
"tt_prevalence","GN","latitude",
"tt_prevalence","GN","hk_prevalence",
"tt_prevalence","GN","asc_prevalence",
"tt_prevalence","GN","tt_prevalence",
"tt_prevalence","GN","coordinates",
"coordinates","GN","year",0.05397
"coordinates","GN","longitude",0.536
"coordinates","GN","latitude",1
"coordinates","GN","hk_prevalence",
"coordinates","GN","asc_prevalence",
"coordinates","GN","tt_prevalence",
"coordinates","GN","coordinates",1
"year","GW","year",1
"year","GW","longitude",0.2165
"year","GW","latitude",0.4359
"year","GW","hk_prevalence",0.6175
"year","GW","asc_prevalence",0.634
"year","GW","tt_prevalence",0.634
"year","GW","coordinates",0.4359
"longitude","GW","year",0.2165
"longitude","GW","longitude",1
"longitude","GW","latitude",0.4551
"longitude","GW","hk_prevalence",0.3428
"longitude","GW","asc_prevalence",0.3523
"longitude","GW","tt_prevalence",0.3523
"longitude","GW","coordinates",0.4551
"latitude","GW","year",0.4359
"latitude","GW","longitude",0.4551
"latitude","GW","latitude",1
"latitude","GW","hk_prevalence",0.7594
"latitude","GW","asc_prevalence",0.7796
"latitude","GW","tt_prevalence",0.7796
"latitude","GW","coordinates",1
"hk_prevalence","GW","year",0.6175
"hk_prevalence","GW","longitude",0.3428
"hk_prevalence","GW","latitude",0.7594
"hk_prevalence","GW","hk_prevalence",1
"hk_prevalence","GW","asc_prevalence",0.9742
"hk_prevalence","GW","tt_prevalence",0.9742
"hk_prevalence","GW","coordinates",0.7594
"asc_prevalence","GW","year",0.634
"asc_prevalence","GW","longitude",0.3523
"asc_prevalence","GW","latitude",0.7796
"asc_prevalence","GW","hk_prevalence",0.9742
"asc_prevalence","GW","asc_prevalence",1
"asc_prevalence","GW","tt_prevalence",1
"asc_prevalence","GW","coordinates",0.7796
"tt_prevalence","GW","year",0.634
"tt_prevalence","GW","longitude",0.3523
"tt_prevalence","GW","latitude",0.7796
"tt_prevalence","GW","hk_prevalence",0.9742
"tt_prevalence","GW","asc_prevalence",1
"tt_prevalence","GW","tt_prevalence",1
"tt_prevalence","GW","coordinates",0.7796
"coordinates","GW","year",0.4359
"coordinates","GW","longitude",0.4551
"coordinates","GW","latitude",1
"coordinates","GW","hk_prevalence",0.7594
"coordinates","GW","asc_prevalence",0.7796
"coordinates","GW","tt_prevalence",0.7796
"coordinates","GW","coordinates",1
"year","KE","year",1
"year","KE","longitude",0
"year","KE","latitude",0.0489
"year","KE","hk_prevalence",0
"year","KE","asc_prevalence",0
"year","KE","tt_prevalence",0
"year","KE","coordinates",0.0489
"longitude","KE","year",0
"longitude","KE","longitude",1
"longitude","KE","latitude",0.9103
"longitude","KE","hk_prevalence",0
"longitude","KE","asc_prevalence",0
"longitude","KE","tt_prevalence",0
"longitude","KE","coordinates",0.9103
"latitude","KE","year",0.0489
"latitude","KE","longitude",0.9103
"latitude","KE","latitude",1
"latitude","KE","hk_prevalence",0.01085
"latitude","KE","asc_prevalence",0
"latitude","KE","tt_prevalence",0.01686
"latitude","KE","coordinates",1
"hk_prevalence","KE","year",0
"hk_prevalence","KE","longitude",0
"hk_prevalence","KE","latitude",0.01085
"hk_prevalence","KE","hk_prevalence",1
"hk_prevalence","KE","asc_prevalence",0.02678
"hk_prevalence","KE","tt_prevalence",0.04521
"hk_prevalence","KE","coordinates",0.01085
"asc_prevalence","KE","year",0
"asc_prevalence","KE","longitude",0
"asc_prevalence","KE","latitude",0
"asc_prevalence","KE","hk_prevalence",0.02678
"asc_prevalence","KE","asc_prevalence",1
"asc_prevalence","KE","tt_prevalence",0.2809
"asc_prevalence","KE","coordinates",0
"tt_prevalence","KE","year",0
"tt_prevalence","KE","longitude",0
"tt_prevalence","KE","latitude",0.01686
"tt_prevalence","KE","hk_prevalence",0.04521
"tt_prevalence","KE","asc_prevalence",0.2809
"tt_prevalence","KE","tt_prevalence",1
"tt_prevalence","KE","coordinates",0.01686
"coordinates","KE","year",0.0489
"coordinates","KE","longitude",0.9103
"coordinates","KE","latitude",1
"coordinates","KE","hk_prevalence",0.01085
"coordinates","KE","asc_prevalence",0
"coordinates","KE","tt_prevalence",0.01686
"coordinates","KE","coordinates",1
"year","LR","year",
"year","LR","longitude",
"year","LR","latitude",
"year","LR","hk_prevalence",
"year","LR","asc_prevalence",
"year","LR","tt_prevalence",
"year","LR","coordinates",
"longitude","LR","year",
"longitude","LR","longitude",1
"longitude","LR","latitude",0.8365
"longitude","LR","hk_prevalence",0
"longitude","LR","asc_prevalence",0
"longitude","LR","tt_prevalence",0
"longitude","LR","coordinates",0.8365
"latitude","LR","year",
"latitude","LR","longitude",0.8365
"latitude","LR","latitude",1
"latitude","LR","hk_prevalence",0.2098
"latitude","LR","asc_prevalence",0.2098
"latitude","LR","tt_prevalence",0.2575
"latitude","LR","coordinates",1
"hk_prevalence","LR","year",
"hk_prevalence","LR","longitude",0
"hk_prevalence","LR","latitude",0.2098
"hk_prevalence","LR","hk_prevalence",1
"hk_prevalence","LR","asc_prevalence",0.4991
"hk_prevalence","LR","tt_prevalence",0.407
"hk_prevalence","LR","coordinates",0.2098
"asc_prevalence","LR","year",
"asc_prevalence","LR","longitude",0
"asc_prevalence","LR","latitude",0.2098
"asc_prevalence","LR","hk_prevalence",0.4991
"asc_prevalence","LR","asc_prevalence",1
"asc_prevalence","LR","tt_prevalence",0
"asc_prevalence","LR","coordinates",0.2098
"tt_prevalence","LR","year",
"tt_prevalence","LR","longitude",0
"tt_prevalence","LR","latitude",0.2575
"tt_prevalence","LR","hk_prevalence",0.407
"tt_prevalence","LR","asc_prevalence",0
"tt_prevalence","LR","tt_prevalence",1
"tt_prevalence","LR","coordinates",0.2575
"coordinates","LR","year",
"coordinates","LR","longitude",0.8365
"coordinates","LR","latitude",1
"coordinates","LR","hk_prevalence",0.2098
"coordinates","LR","asc_prevalence",0.2098
"coordinates","LR","tt_prevalence",0.2575
"coordinates","LR","coordinates",1
"year","LS","year",
"year","LS","longitude",
"year","LS","latitude",
"year","LS","hk_prevalence",
"year","LS","asc_prevalence",
"year","LS","tt_prevalence",
"year","LS","coordinates",
"longitude","LS","year",
"longitude","LS","longitude",
"longitude","LS","latitude",
"longitude","LS","hk_prevalence",
"longitude","LS","asc_prevalence",
"longitude","LS","tt_prevalence",
"longitude","LS","coordinates",
"latitude","LS","year",
"latitude","LS","longitude",
"latitude","LS","latitude",1
"latitude","LS","hk_prevalence",
"latitude","LS","asc_prevalence",
"latitude","LS","tt_prevalence",
"latitude","LS","coordinates",1
"hk_prevalence","LS","year",
"hk_prevalence","LS","longitude",
"hk_prevalence","LS","latitude",
"hk_prevalence","LS","hk_prevalence",
"hk_prevalence","LS","asc_prevalence",
"hk_prevalence","LS","tt_prevalence",
"hk_prevalence","LS","coordinates",
"asc_prevalence","LS","year",
"asc_prevalence","LS","longitude",
"asc_prevalence","LS","latitude",
"asc_prevalence","LS","hk_prevalence",
"asc_prevalence","LS","asc_prevalence",
"asc_prevalence","LS","tt_prevalence",
"asc_prevalence","LS","coordinates",
"tt_prevalence","LS","year",
"tt_prevalence","LS","longitude",
"tt_prevalence","LS","latitude",
"tt_prevalence","LS","hk_prevalence",
"tt_prevalence","LS","asc_prevalence",
"tt_prevalence","LS","tt_prevalence",
"tt_prevalence","LS","coordinates",
"coordinates","LS","year",
"coordinates","LS","longitude",
"coordinates","LS","latitude",1
"coordinates","LS","hk_prevalence",
"coordinates","LS","asc_prevalence",
"coordinates","LS","tt_prevalence",
"coordinates","LS","coordinates",1
"year","MG","year",1
"year","MG","longitude",0
"year","MG","latitude",0
"year","MG","hk_prevalence",0
"year","MG","asc_prevalence",0
"year","MG","tt_prevalence",0
"year","MG","coordinates",0
"longitude","MG","year",0
"longitude","MG","longitude",1
"longitude","MG","latitude",0.6585
"longitude","MG","hk_prevalence",0
"longitude","MG","asc_prevalence",0
"longitude","MG","tt_prevalence",0
"longitude","MG","coordinates",0.6585
"latitude","MG","year",0
"latitude","MG","longitude",0.6585
"latitude","MG","latitude",1
"latitude","MG","hk_prevalence",0
"latitude","MG","asc_prevalence",0
"latitude","MG","tt_prevalence",0
"latitude","MG","coordinates",1
"hk_prevalence","MG","year",0
"hk_prevalence","MG","longitude",0
"hk_prevalence","MG","latitude",0
"hk_prevalence","MG","hk_prevalence",1
"hk_prevalence","MG","asc_prevalence",0
"hk_prevalence","MG","tt_prevalence",0.3088
"hk_prevalence","MG","coordinates",0
"asc_prevalence","MG","year",0
"asc_prevalence","MG","longitude",0
"asc_prevalence","MG","latitude",0
"asc_prevalence","MG","hk_prevalence",0
"asc_prevalence","MG","asc_prevalence",1
"asc_prevalence","MG","tt_prevalence",0.511
"asc_prevalence","MG","coordinates",0
"tt_prevalence","MG","year",0
"tt_prevalence","MG","longitude",0
"tt_prevalence","MG","latitude",0
"tt_prevalence","MG","hk_prevalence",0.3088
"tt_prevalence","MG","asc_prevalence",0.511
"tt_prevalence","MG","tt_prevalence",1
"tt_prevalence","MG","coordinates",0
"coordinates","MG","year",0
"coordinates","MG","longitude",0.6585
"coordinates","MG","latitude",1
"coordinates","MG","hk_prevalence",0
"coordinates","MG","asc_prevalence",0
"coordinates","MG","tt_prevalence",0
"coordinates","MG","coordinates",1
"year","ML","year",1
"year","ML","longitude",0
"year","ML","latitude",0
"year","ML","hk_prevalence",
"year","ML","asc_prevalence",0.3014
"year","ML","tt_prevalence",0.3014
"year","ML","coordinates",0
"longitude","ML","year",0
"longitude","ML","longitude",1
"longitude","ML","latitude",1
"longitude","ML","hk_prevalence",
"longitude","ML","asc_prevalence",0
"longitude","ML","tt_prevalence",0
"longitude","ML","coordinates",1
"latitude","ML","year",0
"latitude","ML","longitude",1
"latitude","ML","latitude",1
"latitude","ML","hk_prevalence",
"latitude","ML","asc_prevalence",0
"latitude","ML","tt_prevalence",0
"latitude","ML","coordinates",1
"hk_prevalence","ML","year",
"hk_prevalence","ML","longitude",
"hk_prevalence","ML","latitude",
"hk_prevalence","ML","hk_prevalence",
"hk_prevalence","ML","asc_prevalence",
"hk_prevalence","ML","tt_prevalence",
"hk_prevalence","ML","coordinates",
"asc_prevalence","ML","year",0.3014
"asc_prevalence","ML","longitude",0
"asc_prevalence","ML","latitude",0
"asc_prevalence","ML","hk_prevalence",
"asc_prevalence","ML","asc_prevalence",1
"asc_prevalence","ML","tt_prevalence",1
"asc_prevalence","ML","coordinates",0
"tt_prevalence","ML","year",0.3014
"tt_prevalence","ML","longitude",0
"tt_prevalence","ML","latitude",0
"tt_prevalence","ML","hk_prevalence",
"tt_prevalence","ML","asc_prevalence",1
"tt_prevalence","ML","tt_prevalence",1
"tt_prevalence","ML","coordinates",0
"coordinates","ML","year",0
"coordinates","ML","longitude",1
"coordinates","ML","latitude",1
"coordinates","ML","hk_prevalence",
"coordinates","ML","asc_prevalence",0
"coordinates","ML","tt_prevalence",0
"coordinates","ML","coordinates",1
"year","MR","year",
"year","MR","longitude",
"year","MR","latitude",
"year","MR","hk_prevalence",
"year","MR","asc_prevalence",
"year","MR","tt_prevalence",
"year","MR","coordinates",
"longitude","MR","year",
"longitude","MR","longitude",1
"longitude","MR","latitude",0.8451
"longitude","MR","hk_prevalence",0
"longitude","MR","asc_prevalence",0
"longitude","MR","tt_prevalence",0
"longitude","MR","coordinates",0.8451
"latitude","MR","year",
"latitude","MR","longitude",0.8451
"latitude","MR","latitude",1
"latitude","MR","hk_prevalence",0
"latitude","MR","asc_prevalence",0
"latitude","MR","tt_prevalence",0
"latitude","MR","coordinates",1
"hk_prevalence","MR","year",
"hk_prevalence","MR","longitude",0
"hk_prevalence","MR","latitude",0
"hk_prevalence","MR","hk_prevalence",1
"hk_prevalence","MR","asc_prevalence",1
"hk_prevalence","MR","tt_prevalence",1
"hk_prevalence","MR","coordinates",0
"asc_prevalence","MR","year",
"asc_prevalence","MR","longitude",0
"asc_prevalence","MR","latitude",0
"asc_prevalence","MR","hk_prevalence",1
"asc_prevalence","MR","asc_prevalence",1
"asc_prevalence","MR","tt_prevalence",1
"asc_prevalence","MR","coordinates",0
"tt_prevalence","MR","year",
"tt_prevalence","MR","longitude",0
"tt_prevalence","MR","latitude",0
"tt_prevalence","MR","hk_prevalence",1
"tt_prevalence","MR","asc_prevalence",1
"tt_prevalence","MR","tt_prevalence",1
"tt_prevalence","MR","coordinates",0
"coordinates","MR","year",
"coordinates","MR","longitude",0.8451
"coordinates","MR","latitude",1
"coordinates","MR","hk_prevalence",0
"coordinates","MR","asc_prevalence",0
"coordinates","MR","tt_prevalence",0
"coordinates","MR","coordinates",1
"year","MU","year",
"year","MU","longitude",
"year","MU","latitude",
"year","MU","hk_prevalence",
"year","MU","asc_prevalence",
"year","MU","tt_prevalence",
"year","MU","coordinates",
"longitude","MU","year",
"longitude","MU","longitude",1
"longitude","MU","latitude",0.6919
"longitude","MU","hk_prevalence",
"longitude","MU","asc_prevalence",
"longitude","MU","tt_prevalence",
"longitude","MU","coordinates",0.6919
"latitude","MU","year",
"latitude","MU","longitude",0.6919
"latitude","MU","latitude",1
"latitude","MU","hk_prevalence",
"latitude","MU","asc_prevalence",
"latitude","MU","tt_prevalence",
"latitude","MU","coordinates",1
"hk_prevalence","MU","year",
"hk_prevalence","MU","longitude",
"hk_prevalence","MU","latitude",
"hk_prevalence","MU","hk_prevalence",
"hk_prevalence","MU","asc_prevalence",
"hk_prevalence","MU","tt_prevalence",
"hk_prevalence","MU","coordinates",
"asc_prevalence","MU","year",
"asc_prevalence","MU","longitude",
"asc_prevalence","MU","latitude",
"asc_prevalence","MU","hk_prevalence",
"asc_prevalence","MU","asc_prevalence",
"asc_prevalence","MU","tt_prevalence",
"asc_prevalence","MU","coordinates",
"tt_prevalence","MU","year",
"tt_prevalence","MU","longitude",
"tt_prevalence","MU","latitude",
"tt_prevalence","MU","hk_prevalence",
"tt_prevalence","MU","asc_prevalence",
"tt_prevalence","MU","tt_prevalence",
"tt_prevalence","MU","coordinates",
"coordinates","MU","year",
"coordinates","MU","longitude",0.6919
"coordinates","MU","latitude",1
"coordinates","MU","hk_prevalence",
"coordinates","MU","asc_prevalence",
"coordinates","MU","tt_prevalence",
"coordinates","MU","coordinates",1
"year","MW","year",
"year","MW","longitude",
"year","MW","latitude",
"year","MW","hk_prevalence",
"year","MW","asc_prevalence",
"year","MW","tt_prevalence",
"year","MW","coordinates",
"longitude","MW","year",
"longitude","MW","longitude",1
"longitude","MW","latitude",0.5452
"longitude","MW","hk_prevalence",0
"longitude","MW","asc_prevalence",0
"longitude","MW","tt_prevalence",0
"longitude","MW","coordinates",0.5452
"latitude","MW","year",
"latitude","MW","longitude",0.5452
"latitude","MW","latitude",1
"latitude","MW","hk_prevalence",0
"latitude","MW","asc_prevalence",0
"latitude","MW","tt_prevalence",0
"latitude","MW","coordinates",1
"hk_prevalence","MW","year",
"hk_prevalence","MW","longitude",0
"hk_prevalence","MW","latitude",0
"hk_prevalence","MW","hk_prevalence",1
"hk_prevalence","MW","asc_prevalence",0
"hk_prevalence","MW","tt_prevalence",0.4985
"hk_prevalence","MW","coordinates",0
"asc_prevalence","MW","year",
"asc_prevalence","MW","longitude",0
"asc_prevalence","MW","latitude",0
"asc_prevalence","MW","hk_prevalence",0
"asc_prevalence","MW","asc_prevalence",1
"asc_prevalence","MW","tt_prevalence",0.5272
"asc_prevalence","MW","coordinates",0
"tt_prevalence","MW","year",
"tt_prevalence","MW","longitude",0
"tt_prevalence","MW","latitude",0
"tt_prevalence","MW","hk_prevalence",0.4985
"tt_prevalence","MW","asc_prevalence",0.5272
"tt_prevalence","MW","tt_prevalence",1
"tt_prevalence","MW","coordinates",0
"coordinates","MW","year",
"coordinates","MW","longitude",0.5452
"coordinates","MW","latitude",1
"coordinates","MW","hk_prevalence",0
"coordinates","MW","asc_prevalence",0
"coordinates","MW","tt_prevalence",0
"coordinates","MW","coordinates",1
"year","MZ","year",1
"year","MZ","longitude",0.05945
"year","MZ","latitude",0
"year","MZ","hk_prevalence",0.1098
"year","MZ","asc_prevalence",0.07697
"year","MZ","tt_prevalence",0.05372
"year","MZ","coordinates",0
"longitude","MZ","year",0.05945
"longitude","MZ","longitude",1
"longitude","MZ","latitude",0.4764
"longitude","MZ","hk_prevalence",0.1002
"longitude","MZ","asc_prevalence",0.1498
"longitude","MZ","tt_prevalence",0.1952
"longitude","MZ","coordinates",0.4764
"latitude","MZ","year",0
"latitude","MZ","longitude",0.4764
"latitude","MZ","latitude",1
"latitude","MZ","hk_prevalence",0
"latitude","MZ","asc_prevalence",0.01039
"latitude","MZ","tt_prevalence",0.06426
"latitude","MZ","coordinates",1
"hk_prevalence","MZ","year",0.1098
"hk_prevalence","MZ","longitude",0.1002
"hk_prevalence","MZ","latitude",0
"hk_prevalence","MZ","hk_prevalence",1
"hk_prevalence","MZ","asc_prevalence",0.5084
"hk_prevalence","MZ","tt_prevalence",0.628
"hk_prevalence","MZ","coordinates",0
"asc_prevalence","MZ","year",0.07697
"asc_prevalence","MZ","longitude",0.1498
"asc_prevalence","MZ","latitude",0.01039
"asc_prevalence","MZ","hk_prevalence",0.5084
"asc_prevalence","MZ","asc_prevalence",1
"asc_prevalence","MZ","tt_prevalence",0.8146
"asc_prevalence","MZ","coordinates",0.01039
"tt_prevalence","MZ","year",0.05372
"tt_prevalence","MZ","longitude",0.1952
"tt_prevalence","MZ","latitude",0.06426
"tt_prevalence","MZ","hk_prevalence",0.628
"tt_prevalence","MZ","asc_prevalence",0.8146
"tt_prevalence","MZ","tt_prevalence",1
"tt_prevalence","MZ","coordinates",0.06426
"coordinates","MZ","year",0
"coordinates","MZ","longitude",0.4764
"coordinates","MZ","latitude",1
"coordinates","MZ","hk_prevalence",0
"coordinates","MZ","asc_prevalence",0.01039
"coordinates","MZ","tt_prevalence",0.06426
"coordinates","MZ","coordinates",1
"year","NE","year",1
"year","NE","longitude",0.2259
"year","NE","latitude",0.07546
"year","NE","hk_prevalence",0.0333
"year","NE","asc_prevalence",
"year","NE","tt_prevalence",0
"year","NE","coordinates",0.07546
"longitude","NE","year",0.2259
"longitude","NE","longitude",1
"longitude","NE","latitude",0.8322
"longitude","NE","hk_prevalence",0
"longitude","NE","asc_prevalence",
"longitude","NE","tt_prevalence",0.06548
"longitude","NE","coordinates",0.8322
"latitude","NE","year",0.07546
"latitude","NE","longitude",0.8322
"latitude","NE","latitude",1
"latitude","NE","hk_prevalence",0.03663
"latitude","NE","asc_prevalence",
"latitude","NE","tt_prevalence",0.05039
"latitude","NE","coordinates",1
"hk_prevalence","NE","year",0.0333
"hk_prevalence","NE","longitude",0
"hk_prevalence","NE","latitude",0.03663
"hk_prevalence","NE","hk_prevalence",1
"hk_prevalence","NE","asc_prevalence",
"hk_prevalence","NE","tt_prevalence",0.4434
"hk_prevalence","NE","coordinates",0.03663
"asc_prevalence","NE","year",
"asc_prevalence","NE","longitude",
"asc_prevalence","NE","latitude",
"asc_prevalence","NE","hk_prevalence",
"asc_prevalence","NE","asc_prevalence",
"asc_prevalence","NE","tt_prevalence",
"asc_prevalence","NE","coordinates",
"tt_prevalence","NE","year",0
"tt_prevalence","NE","longitude",0.06548
"tt_prevalence","NE","latitude",0.05039
"tt_prevalence","NE","hk_prevalence",0.4434
"tt_prevalence","NE","asc_prevalence",
"tt_prevalence","NE","tt_prevalence",1
"tt_prevalence","NE","coordinates",0.05039
"coordinates","NE","year",0.07546
"coordinates","NE","longitude",0.8322
"coordinates","NE","latitude",1
"coordinates","NE","hk_prevalence",0.03663
"coordinates","NE","asc_prevalence",
"coordinates","NE","tt_prevalence",0.05039
"coordinates","NE","coordinates",1
"year","NG","year",1
"year","NG","longitude",0.0595
"year","NG","latitude",0.1571
"year","NG","hk_prevalence",0
"year","NG","asc_prevalence",0.0943
"year","NG","tt_prevalence",0.06266
"year","NG","coordinates",0.1571
"longitude","NG","year",0.0595
"longitude","NG","longitude",1
"longitude","NG","latitude",0.5911
"longitude","NG","hk_prevalence",0
"longitude","NG","asc_prevalence",0.216
"longitude","NG","tt_prevalence",0.2476
"longitude","NG","coordinates",0.5911
"latitude","NG","year",0.1571
"latitude","NG","longitude",0.5911
"latitude","NG","latitude",1
"latitude","NG","hk_prevalence",0
"latitude","NG","asc_prevalence",0.1164
"latitude","NG","tt_prevalence",0.1264
"latitude","NG","coordinates",1
"hk_prevalence","NG","year",0
"hk_prevalence","NG","longitude",0
"hk_prevalence","NG","latitude",0
"hk_prevalence","NG","hk_prevalence",1
"hk_prevalence","NG","asc_prevalence",0
"hk_prevalence","NG","tt_prevalence",0.498
"hk_prevalence","NG","coordinates",0
"asc_prevalence","NG","year",0.0943
"asc_prevalence","NG","longitude",0.216
"asc_prevalence","NG","latitude",0.1164
"asc_prevalence","NG","hk_prevalence",0
"asc_prevalence","NG","asc_prevalence",1
"asc_prevalence","NG","tt_prevalence",0.572
"asc_prevalence","NG","coordinates",0.1164
"tt_prevalence","NG","year",0.06266
"tt_prevalence","NG","longitude",0.2476
"tt_prevalence","NG","latitude",0.1264
"tt_prevalence","NG","hk_prevalence",0.498
"tt_prevalence","NG","asc_prevalence",0.572
"tt_prevalence","NG","tt_prevalence",1
"tt_prevalence","NG","coordinates",0.1264
"coordinates","NG","year",0.1571
"coordinates","NG","longitude",0.5911
"coordinates","NG","latitude",1
"coordinates","NG","hk_prevalence",0
"coordinates","NG","asc_prevalence",0.1164
"coordinates","NG","tt_prevalence",0.1264
"coordinates","NG","coordinates",1
"year","RW","year",
"year","RW","longitude",
"year","RW","latitude",
"year","RW","hk_prevalence",
"year","RW","asc_prevalence",
"year","RW","tt_prevalence",
"year","RW","coordinates",
"longitude","RW","year",
"longitude","RW","longitude",
"longitude","RW","latitude",
"longitude","RW","hk_prevalence",
"longitude","RW","asc_prevalence",
"longitude","RW","tt_prevalence",
"longitude","RW","coordinates",
"latitude","RW","year",
"latitude","RW","longitude",
"latitude","RW","latitude",1
"latitude","RW","hk_prevalence",0
"latitude","RW","asc_prevalence",
"latitude","RW","tt_prevalence",0
"latitude","RW","coordinates",1
"hk_prevalence","RW","year",
"hk_prevalence","RW","longitude",
"hk_prevalence","RW","latitude",0
"hk_prevalence","RW","hk_prevalence",1
"hk_prevalence","RW","asc_prevalence",
"hk_prevalence","RW","tt_prevalence",0.9947
"hk_prevalence","RW","coordinates",0
"asc_prevalence","RW","year",
"asc_prevalence","RW","longitude",
"asc_prevalence","RW","latitude",
"asc_prevalence","RW","hk_prevalence",
"asc_prevalence","RW","asc_prevalence",
"asc_prevalence","RW","tt_prevalence",
"asc_prevalence","RW","coordinates",
"tt_prevalence","RW","year",
"tt_prevalence","RW","longitude",
"tt_prevalence","RW","latitude",0
"tt_prevalence","RW","hk_prevalence",0.9947
"tt_prevalence","RW","asc_prevalence",
"tt_prevalence","RW","tt_prevalence",1
"tt_prevalence","RW","coordinates",0
"coordinates","RW","year",
"coordinates","RW","longitude",
"coordinates","RW","latitude",1
"coordinates","RW","hk_prevalence",0
"coordinates","RW","asc_prevalence",
"coordinates","RW","tt_prevalence",0
"coordinates","RW","coordinates",1
"year","SC","year",
"year","SC","longitude",
"year","SC","latitude",
"year","SC","hk_prevalence",
"year","SC","asc_prevalence",
"year","SC","tt_prevalence",
"year","SC","coordinates",
"longitude","SC","year",
"longitude","SC","longitude",1
"longitude","SC","latitude",1
"longitude","SC","hk_prevalence",
"longitude","SC","asc_prevalence",
"longitude","SC","tt_prevalence",
"longitude","SC","coordinates",1
"latitude","SC","year",
"latitude","SC","longitude",1
"latitude","SC","latitude",1
"latitude","SC","hk_prevalence",
"latitude","SC","asc_prevalence",
"latitude","SC","tt_prevalence",
"latitude","SC","coordinates",1
"hk_prevalence","SC","year",
"hk_prevalence","SC","longitude",
"hk_prevalence","SC","latitude",
"hk_prevalence","SC","hk_prevalence",
"hk_prevalence","SC","asc_prevalence",
"hk_prevalence","SC","tt_prevalence",
"hk_prevalence","SC","coordinates",
"asc_prevalence","SC","year",
"asc_prevalence","SC","longitude",
"asc_prevalence","SC","latitude",
"asc_prevalence","SC","hk_prevalence",
"asc_prevalence","SC","asc_prevalence",
"asc_prevalence","SC","tt_prevalence",
"asc_prevalence","SC","coordinates",
"tt_prevalence","SC","year",
"tt_prevalence","SC","longitude",
"tt_prevalence","SC","latitude",
"tt_prevalence","SC","hk_prevalence",
"tt_prevalence","SC","asc_prevalence",
"tt_prevalence","SC","tt_prevalence",
"tt_prevalence","SC","coordinates",
"coordinates","SC","year",
"coordinates","SC","longitude",1
"coordinates","SC","latitude",1
"coordinates","SC","hk_prevalence",
"coordinates","SC","asc_prevalence",
"coordinates","SC","tt_prevalence",
"coordinates","SC","coordinates",1
"year","SD","year",
"year","SD","longitude",
"year","SD","latitude",
"year","SD","hk_prevalence",
"year","SD","asc_prevalence",
"year","SD","tt_prevalence",
"year","SD","coordinates",
"longitude","SD","year",
"longitude","SD","longitude",
"longitude","SD","latitude",
"longitude","SD","hk_prevalence",
"longitude","SD","asc_prevalence",
"longitude","SD","tt_prevalence",
"longitude","SD","coordinates",
"latitude","SD","year",
"latitude","SD","longitude",
"latitude","SD","latitude",
"latitude","SD","hk_prevalence",
"latitude","SD","asc_prevalence",
"latitude","SD","tt_prevalence",
"latitude","SD","coordinates",
"hk_prevalence","SD","year",
"hk_prevalence","SD","longitude",
"hk_prevalence","SD","latitude",
"hk_prevalence","SD","hk_prevalence",
"hk_prevalence","SD","asc_prevalence",
"hk_prevalence","SD","tt_prevalence",
"hk_prevalence","SD","coordinates",
"asc_prevalence","SD","year",
"asc_prevalence","SD","longitude",
"asc_prevalence","SD","latitude",
"asc_prevalence","SD","hk_prevalence",
"asc_prevalence","SD","asc_prevalence",
"asc_prevalence","SD","tt_prevalence",
"asc_prevalence","SD","coordinates",
