"variable","iso2","reference","cramer"
"hk_prevalence","BW","hk_prevalence",
"hk_prevalence","BW","asc_prevalence",
"hk_prevalence","BW","tt_prevalence",
"hk_prevalence","BW","coordinates",
"asc_prevalence","BW","year",
"asc_prevalence","BW","longitude",
"asc_prevalence","BW","latitude",
"asc_prevalence","BW","hk_prevalence",
"asc_prevalence","BW","asc_prevalence",
"asc_prevalence","BW","tt_prevalence",
"asc_prevalence","BW","coordinates",
"tt_prevalence","BW","year",
"tt_prevalence","BW","longitude",
"tt_prevalence","BW","latitude",
"tt_prevalence","BW","hk_prevalence",
"tt_prevalence","BW","asc_prevalence",
"tt_prevalence","BW","tt_prevalence",
"tt_prevalence","BW","coordinates",
"coordinates","BW","year",
"coordinates","BW","longitude",1
"coordinates","BW","latitude",1
"coordinates","BW","hk_prevalence",
"coordinates","BW","asc_prevalence",
"coordinates","BW","tt_prevalence",
"coordinates","BW","coordinates",1
"year","CD","year",1
"year","CD","longitude",0
"year","CD","latitude",0.09755
"year","CD","hk_prevalence",0
"year","CD","asc_prevalence",
"year","CD","tt_prevalence",
"year","CD","coordinates",0.09755
"longitude","CD","year",0
"longitude","CD","longitude",1
"longitude","CD","latitude",0.7456
"longitude","CD","hk_prevalence",0.5501
"longitude","CD","asc_prevalence",
"longitude","CD","tt_prevalence",
"longitude","CD","coordinates",0.7456
"latitude","CD","year",0.09755
"latitude","CD","longitude",0.7456
"latitude","CD","latitude",1
"latitude","CD","hk_prevalence",0.4039
"latitude","CD","asc_prevalence",
"latitude","CD","tt_prevalence",
"latitude","CD","coordinates",1
"hk_prevalence","CD","year",0
"hk_prevalence","CD","longitude",0.5501
"hk_prevalence","CD","latitude",0.4039
"hk_prevalence","CD","hk_prevalence",1
"hk_prevalence","CD","asc_prevalence",
"hk_prevalence","CD","tt_prevalence",
"hk_prevalence","CD","coordinates",0.4039
"asc_prevalence","CD","year",
"asc_prevalence","CD","longitude",
"asc_prevalence","CD","latitude",
"asc_prevalence","CD","hk_prevalence",
"asc_prevalence","CD","asc_prevalence",
"asc_prevalence","CD","tt_prevalence",
"asc_prevalence","CD","coordinates",
"tt_prevalence","CD","year",
"tt_prevalence","CD","longitude",
"tt_prevalence","CD","latitude",
"tt_prevalence","CD","hk_prevalence",
"tt_prevalence","CD","asc_prevalence",
"tt_prevalence","CD","tt_prevalence",
"tt_prevalence","CD","coordinates",
"coordinates","CD","year",0.09755
"coordinates","CD","longitude",0.7456
"coordinates","CD","latitude",1
"coordinates","CD","hk_prevalence",0.4039
"coordinates","CD","asc_prevalence",
"coordinates","CD","tt_prevalence",
"coordinates","CD","coordinates",1
"year","CF","year",
"year","CF","longitude",
"year","CF","latitude",
"year","CF","hk_prevalence",
"year","CF","asc_prevalence",
"year","CF","tt_prevalence",
"year","CF","coordinates",
"longitude","CF","year",
"longitude","CF","longitude",
"longitude","CF","latitude",
"longitude","CF","hk_prevalence",
"longitude","CF","asc_prevalence",
"longitude","CF","tt_prevalence",
"longitude","CF","coordinates",
"latitude","CF","year",
"latitude","CF","longitude",
"latitude","CF","latitude",
"latitude","CF","hk_prevalence",
"latitude","CF","asc_prevalence",
"latitude","CF","tt_prevalence",
"latitude","CF","coordinates",
"hk_prevalence","CF","year",
"hk_prevalence","CF","longitude",
"hk_prevalence","CF","latitude",
"hk_prevalence","CF","hk_prevalence",
