"iso2","N","feature","missing_number","missing_fraction"
"TZ",1255,"year",148,0.11792828685258964
"UG",1844,"year",60,0.03253796095444685
"ZA",341,"year",78,0.2287390029325513
"ZM",1144,"year",0,0.0
"ZW",585,"year",279,0.47692307692307695
"ZZ",149,"year",50,0.33557046979865773
"AO",160,"coordinates",0,0.0
"BF",162,"coordinates",0,0.0
"BI",772,"coordinates",0,0.0
"BJ",449,"coordinates",0,0.0
"BW",161,"coordinates",0,0.0
"CD",1959,"coordinates",0,0.0
"CF",2,"coordinates",0,0.0
"CG",1,"coordinates",0,0.0
"CI",1278,"coordinates",0,0.0
"CM",592,"coordinates",0,0.0
"CV",16,"coordinates",0,0.0
"EG",18,"coordinates",0,0.0
"ER",386,"coordinates",0,0.0
"ET",640,"coordinates",0,0.0
"GA",283,"coordinates",0,0.0
"GH",95,"coordinates",0,0.0
"GM",432,"coordinates",0,0.0
"GN",216,"coordinates",0,0.0
"GW",176,"coordinates",0,0.0
"KE",1508,"coordinates",0,0.0
"LR",1993,"coordinates",0,0.0
"LS",50,"coordinates",0,0.0
"MG",473,"coordinates",0,0.0
"ML",263,"coordinates",0,0.0
"MR",151,"coordinates",0,0.0
"MU",49,"coordinates",0,0.0
"MW",1024,"coordinates",0,0.0
"MZ",321,"coordinates",0,0.0
"NE",713,"coordinates",0,0.0
"NG",3384,"coordinates",0,0.0
"RW",445,"coordinates",0,0.0
"SC",7,"coordinates",0,0.0
"SD",1,"coordinates",0,0.0
"SL",171,"coordinates",0,0.0
"SN",174,"coordinates",0,0.0
"SO",11,"coordinates",0,0.0
"SS",436,"coordinates",0,0.0
"ST",107,"coordinates",0,0.0
"SZ",277,"coordinates",0,0.0
"TD",426,"coordinates",0,0.0
"TG",2200,"coordinates",0,0.0
"TZ",1255,"coordinates",0,0.0
"UG",1844,"coordinates",0,0.0
"ZA",341,"coordinates",0,0.0
"ZM",1144,"coordinates",0,0.0
"ZW",585,"coordinates",0,0.0
"ZZ",149,"coordinates",0,0.0
