"iso2","N","infection","exist","exist_fraction"
"KE",1509,"tt_prevalence",1364.0,0.9039098740888005
"LR",1994,"tt_prevalence",1949.0,0.977432296890672
"LS",51,"tt_prevalence",45.0,0.8823529411764706
"MG",474,"tt_prevalence",447.0,0.9430379746835443
"ML",264,"tt_prevalence",222.0,0.8409090909090909
"MR",152,"tt_prevalence",82.0,0.5394736842105263
"MU",50,"tt_prevalence",47.0,0.94
"MW",1025,"tt_prevalence",1010.0,0.9853658536585366
"MZ",322,"tt_prevalence",1.0,0.003105590062111801
"NE",714,"tt_prevalence",343.0,0.4803921568627451
"NG",3385,"tt_prevalence",2791.0,0.824519940915805
"RW",446,"tt_prevalence",307.0,0.6883408071748879
"SC",8,"tt_prevalence",6.0,0.75
"SD",2,"tt_prevalence",0.0,0.0
"SL",172,"tt_prevalence",116.0,0.6744186046511628
"SN",175,"tt_prevalence",128.0,0.7314285714285714
"SO",12,"tt_prevalence",0.0,0.0
"SS",437,"tt_prevalence",417.0,0.954233409610984
"ST",108,"tt_prevalence",29.0,0.26851851851851855
"SZ",278,"tt_prevalence",262.0,0.9424460431654677
"TD",427,"tt_prevalence",302.0,0.7072599531615925
"TG",2201,"tt_prevalence",2168.0,0.9850068150840527
"TZ",1256,"tt_prevalence",1058.0,0.8423566878980892
"UG",1845,"tt_prevalence",1666.0,0.9029810298102982
"ZA",342,"tt_prevalence",220.0,0.6432748538011696
"ZM",1145,"tt_prevalence",102.0,0.0890829694323144
"ZW",586,"tt_prevalence",6.0,0.010238907849829351
"ZZ",150,"tt_prevalence",40.0,0.26666666666666666
"AO",161,"sth_prevalence",158.0,0.9813664596273292
"BF",163,"sth_prevalence",88.0,0.5398773006134969
"BI",773,"sth_prevalence",357.0,0.46183699870633893
"BJ",450,"sth_prevalence",72.0,0.16
"BW",162,"sth_prevalence",128.0,0.7901234567901234
"CD",1960,"sth_prevalence",1846.0,0.9418367346938775
"CF",3,"sth_prevalence",1.0,0.3333333333333333
"CG",2,"sth_prevalence",0.0,0.0
"CI",1279,"sth_prevalence",655.0,0.5121188428459734
"CM",593,"sth_prevalence",204.0,0.3440134907251265
"CV",17,"sth_prevalence",0.0,0.0
"EG",19,"sth_prevalence",0.0,0.0
"ER",387,"sth_prevalence",376.0,0.9715762273901809
"ET",641,"sth_prevalence",414.0,0.6458658346333853
"GA",284,"sth_prevalence",248.0,0.8732394366197183
"GH",96,"sth_prevalence",76.0,0.7916666666666666
"GM",433,"sth_prevalence",255.0,0.5889145496535797
"GN",217,"sth_prevalence",67.0,0.3087557603686636
"GW",177,"sth_prevalence",118.0,0.6666666666666666
"KE",1509,"sth_prevalence",1319.0,0.8740888005301524
"LR",1994,"sth_prevalence",1949.0,0.977432296890672
"LS",51,"sth_prevalence",45.0,0.8823529411764706
"MG",474,"sth_prevalence",445.0,0.9388185654008439
"ML",264,"sth_prevalence",222.0,0.8409090909090909
"MR",152,"sth_prevalence",82.0,0.5394736842105263
"MU",50,"sth_prevalence",47.0,0.94
"MW",1025,"sth_prevalence",1005.0,0.9804878048780488
"MZ",322,"sth_prevalence",1.0,0.003105590062111801
"NE",714,"sth_prevalence",335.0,0.469187675070028
"NG",3385,"sth_prevalence",2789.0,0.8239290989660266
"RW",446,"sth_prevalence",307.0,0.6883408071748879
"SC",8,"sth_prevalence",6.0,0.75
"SD",2,"sth_prevalence",0.0,0.0
"SL",172,"sth_prevalence",116.0,0.6744186046511628
"SN",175,"sth_prevalence",125.0,0.7142857142857143
"SO",12,"sth_prevalence",0.0,0.0
"SS",437,"sth_prevalence",417.0,0.954233409610984
"ST",108,"sth_prevalence",29.0,0.26851851851851855
"SZ",278,"sth_prevalence",262.0,0.9424460431654677
"TD",427,"sth_prevalence",302.0,0.7072599531615925
"TG",2201,"sth_prevalence",2168.0,0.9850068150840527
"TZ",1256,"sth_prevalence",1056.0,0.8407643312101911
"UG",1845,"sth_prevalence",1611.0,0.8731707317073171
"ZA",342,"sth_prevalence",199.0,0.5818713450292398
"ZM",1145,"sth_prevalence",102.0,0.0890829694323144
"ZW",586,"sth_prevalence",6.0,0.010238907849829351
"ZZ",150,"sth_prevalence",40.0,0.26666666666666666
